sortOrder,concept_id,level_curated,parent_id,en_label,id_key,is_active,date_range,date_from,date_to,L0_en,L0_ru,L0_zh,L0_kk,L0_ky,L0_tg,L0_tk,L0_uz,H1_en,H1_ru,H1_zh,H1_kk,H1_ky,H1_tg,H1_tk,H1_uz,H2_en,H2_ru,H2_zh,H2_kk,H2_ky,H2_tg,H2_tk,H2_uz,H3_en,H3_ru,H3_zh,H3_kk,H3_ky,H3_tg,H3_tk,H3_uz,Notes_en,Notes_ru,Notes_zh,Notes_ky,Notes_tg,Notes_tk,Notes_uz,H4_en,H4_ru,H4_zh,H4_kk,H4_ky,H4_tg,H4_tk,H4_uz,Notes_kk,join_key_norm
0,,,,,,,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CP-2-0054,2,CP-1-0012,BMAC,L2|BMAC|Prehistoric,True,c. 2400-1600 BCE,-2400,-1600,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,BMAC,БМАК,巴克特里亚·马尔吉阿纳/阿克瑟斯,БМАК мәдениеті,,БМАК (Маданияти бостоншиносии Бохтару Марғиён),BMAK,BMAK,,,,,,,,,"Bactria–Margiana Archaeological Complex, a Bronze Age civilization of Central Asia, dated to c. 2400-1600 BCE, located in present-day northern Afghanistan, eastern Turkmenistan, southern Uzbekistan and western Tajikistan.","Бактрия-Маргианский Археологический Комплекс, Централно-Азиатская цивилизация Бронзового Века, датировано ок. 2400-1600 д.н.э., располагался в нынешней территории северного Афганистана, восточного Туркменистана, южного Узбекистана и западного Таджикистана.",巴克特里亚·马尔吉阿纳文明区，是中亚青铜时代文明，可追溯到约公元前2400-公元前1600年。位于今阿富汗北部，土库曼斯坦东部，乌兹别克斯坦南部和塔吉克斯坦西部。,"Бактрия - Маргиан археологиялык комплекси, коло доорундагы Борбордук Азия цивилизациясы, б.з.ч. 2400-1600-жылдарга таандык, азыркы Афганистандын түндүгүндө, Түркмөнстандын чыгышында, Өзбекстандын түштүгүндө жана Тажикстандын батышында жайгашкан.","Маҷмааи бостоншиносии Бохтару Марғиён, тамаддуни асри биринҷии Осиёи Марказӣ, ки ба солҳои 2400-1600 пеш аз милод тааллуқ дорад, ки дар шимоли Афғонистони имрӯза, Туркманистони шарқӣ, ҷануби Узбакистон ва ғарби Тоҷикистон воқеъ аст.","Merkezi Aziýanyň Bürünç döwrüniň siwilizasiýasy bolan Baktriya-Margiana Arheologiki Kompleksi b.e. Öň 2400-1600 töwerekleri, häzirki zaman demirgazyk Owganistanyň, günbatar Türkmenistanyň, günorta Özbegistanyň we günbatar Täjigistanyň territoriýasynda ýerleşipdir.","Baqtriya-Marg‘iyona arxeologik majmuasi, Markaziy Osiyoning bronza davri sivilizatsiyasi. Miloddan avvalgi 2400-1600-yillarga tegishli. Hozirgi Afg‘onistonning shimolida, Turkmanistonning sharqiy qismida, O‘zbekistonning janubida va Tojikistonning g‘arbiy qismida joylashgan.",,,,,,,,,,L2|BMAC|Prehistoric
75,CP-2-0055,2,CP-1-0012,BRONZE AGE,L2|BRONZE AGE|Prehistoric,True,c. 2400-900 BCE,-2400,-900,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,BRONZE AGE,БРОНЗОВЫЙ ВЕК,青铜时代,Қола дәуірі,Коло Доору,АСРИ БИРИНҶӢ,Bürünç asyry,JEZ DAVRI / BRONZA ASRI,,,,,,,,,,,,,,,,,,,,,,,,,L2|BRONZE AGE|Prehistoric
76,CP-3-0005,3,CP-2-0055,EARLY BRONZE AGE,L3|EARLY BRONZE AGE|BRONZE AGE,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,BRONZE AGE,БРОНЗОВЫЙ ВЕК,青铜时代,Қола дәуірі,Коло Доору,АСРИ БИРИНҶӢ,Bürünç asyry,JEZ DAVRI / BRONZA ASRI,EARLY BRONZE AGE,РАННИЙ БРОНЗОВЫЙ ВЕК,青铜时代早期,ЕРТЕ ҚОЛА ДӘУІРІ,Эрте Коло Доору,ИБТИДОИ АСРИ БИРИНҶӢ,IRKI BÜRÜNÇ ASYRY,ILK JEZ DAVRI / ILK BRONZA DAVRI,,,,,,,,,,,,,,,,,L3|EARLY BRONZE AGE|BRONZE AGE
77,CP-3-0006,3,CP-2-0055,LATE BRONZE AGE,L3|LATE BRONZE AGE|BRONZE AGE,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,BRONZE AGE,БРОНЗОВЫЙ ВЕК,青铜时代,Қола дәуірі,Коло Доору,АСРИ БИРИНҶӢ,Bürünç asyry,JEZ DAVRI / BRONZA ASRI,LATE BRONZE AGE,ПОЗДНИЙ БРОНЗОВЫЙ ВЕК,青铜时代晚期,КЕЙІНГІ ҚОЛА ДӘУІРІ,Кеч Коло Доору,ОХИРИ АСРИ БИРИНҶӢ,GIÇKI BÜRÜNÇ ASYRY,SO`NGGI JEZ DAVRI / SO‘NGGI BRONZA DAVRI,,,,,,,,,,,,,,,,,L3|LATE BRONZE AGE|BRONZE AGE
78,CP-3-0007,3,CP-2-0055,MIDDLE BRONZE AGE,L3|MIDDLE BRONZE AGE|BRONZE AGE,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,BRONZE AGE,БРОНЗОВЫЙ ВЕК,青铜时代,Қола дәуірі,Коло Доору,АСРИ БИРИНҶӢ,Bürünç asyry,JEZ DAVRI / BRONZA ASRI,MIDDLE BRONZE AGE,СРЕДНИЙ БРОНЗОВЫЙ ВЕК,青铜时代中期,ОРТАҢҒЫ ҚОЛА ДӘУІРІ,Орто Коло Доору,АСРИ БИРИНҶИИ МИЁНА,ORTA BÜRÜNÇ ASYRY,O‘RTA JEZ DAVRI / O‘RTA BRONZA DAVRI,,,,,,,,,,,,,,,,,L3|MIDDLE BRONZE AGE|BRONZE AGE
79,CP-2-0056,2,CP-1-0012,CHALCOLITHIC/ENEOLITHIC,L2|CHALCOLITHIC/ENEOLITHIC|Prehistoric,True,c. 2500–2000 BCE,-2500,-2000,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,CHALCOLITHIC/ENEOLITHIC,ХАЛКОЛИТ/ЭНЕОЛИТ,铜石并用时代/红铜时代,Халколит/Энеолит,ХАЛКОЛИТ/ЭНЕОЛИТ,ХАЛКОЛИТ/ЭНЕОЛИТ,HALKOLITIK / ENEOLITIK,ENEOLIT,,,,,,,,,"Transitional period between the Neolithic and the Bronze Age, during which the earliest metallic (copper) artifacts appeared; also sometimes called Copper Age. c. 2500–2000 BCE.","Переходной период между Неолитом и Бронзовым Веком, в течении которого появились самые ранние металлические (медь) артефакты; иногда также называется Медный Век. ок. 2500-2000 д.н.э.",新石器时代到青铜时代的过渡时期，此时期出现最早的金属（红铜）器物。有时也被称为红铜时代。公元前2500-2000年。,"Неолит жана коло доорунун ортосундагы өткөөл мезгил, анын учурунда эң алгачкы металл (жез) артефакттар пайда болгон; кээде жез доору деп да аталат. биздин заманга чейинки 2500-2000-жылдар.","Давраи гузариш байни давраи неолит ва асри биринҷӣ, ки дар ин давра қадимтарин осори металлӣ (мисӣ) пайдо шудаанд; баъзан асри мис низ номида мешавад. в. 2500–2000 пеш аз милод.",Neolitik we Bürünç döwürleri arasyndaky geçiş döwri arasynda metal (mis) artefaktlary ýüze çykan; şeýle hem b.e.öň 2500-2000 töweregi käwägt Mis döwri diýip atlandyrylýar.,"Neolitdan jez/bronza asriga o‘tish davri, bu davrda eng qadimgi metall (mis) buyumlar paydo bo'ldi. Ba'zan mis davri deb ataladi. Miloddan avvalgi 2500-2000 yillar.",,,,,,,,,,L2|CHALCOLITHIC/ENEOLITHIC|Prehistoric
80,CP-2-0057,2,CP-1-0012,EARLY PREHISTORIC,L2|EARLY PREHISTORIC|Prehistoric,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,EARLY PREHISTORIC,РАННИЙ ДОИСТОРИЧЕСКИЙ,史前早期,Ерте тарихқа дейінгі дәуір,Тарыхка чейинки,АВВАЛИ ТО-ТАЪРИХӢ,IRKI TARYHDAN ÖŇKI DÖWÜR,ILK OLD TARIX,,,,,,,,,,,,,,,,,,,,,,,,,L2|EARLY PREHISTORIC|Prehistoric
81,CP-2-0058,2,CP-1-0012,IRON AGE,L2|IRON AGE|Prehistoric,True,c. 900-650 BCE,-900,-650,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,IRON AGE,ЖЕЛЕЗНЫЙ ВЕК,铁器时代,Темір дәуірі,Темир Доору,АСРИ ОҲАН,DEMIR ASYRY,TEMIR DAVRI,,,,,,,,,,,,,,,,,,,,,,,,,L2|IRON AGE|Prehistoric
82,CP-3-0012,3,CP-2-0058,EARLY IRON AGE,L3|EARLY IRON AGE|IRON AGE,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,IRON AGE,ЖЕЛЕЗНЫЙ ВЕК,铁器时代,Темір дәуірі,Темир Доору,АСРИ ОҲАН,DEMIR ASYRY,TEMIR DAVRI,EARLY IRON AGE,РАННИЙ ЖЕЛЕЗНЫЙ ВЕК,铁器时代早期,ЕРТЕ ТЕМІР ДӘУІРІ,Эрте Темир Доору,ИБТИДОИ АСРИ ОҲАН,IRKI DEMIR ASYRY,Ilk temir davri,,,,,,,,,,,,,,,,,L3|EARLY IRON AGE|IRON AGE
83,CP-3-0013,3,CP-2-0058,LATE IRON AGE,L3|LATE IRON AGE|IRON AGE,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,IRON AGE,ЖЕЛЕЗНЫЙ ВЕК,铁器时代,Темір дәуірі,Темир Доору,АСРИ ОҲАН,DEMIR ASYRY,TEMIR DAVRI,LATE IRON AGE,ПОЗДНИЙ ЖЕЛЕЗНЫЙ ВЕК,铁器时代晚期,КЕЙІНГІ ТЕМІР ДӘУІРІ,Кеч Темир Доору,ОХИРИ АСРИ ОҲАН,GIÇKI DEMIR ASYRY,So‘nggi temir davri,,,,,,,,,,,,,,,,,L3|LATE IRON AGE|IRON AGE
84,CP-3-0014,3,CP-2-0058,MIDDLE IRON AGE,L3|MIDDLE IRON AGE|IRON AGE,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,IRON AGE,ЖЕЛЕЗНЫЙ ВЕК,铁器时代,Темір дәуірі,Темир Доору,АСРИ ОҲАН,DEMIR ASYRY,TEMIR DAVRI,MIDDLE IRON AGE,СРЕДНИЙ ЖЕЛЕЗНЫЙ ВЕК,铁器时代中期,ОРТАҢҒЫ ТЕМІР ДӘУІРІ,Орто Темир Доору,АСРИ ОҲАНИ МИЁНА,ORTA DEMIR ASYRY,O‘rta temir davri,,,,,,,,,,,,,,,,,L3|MIDDLE IRON AGE|IRON AGE
85,CP-2-0059,2,CP-1-0012,LATER PREHISTORIC,L2|LATER PREHISTORIC|Prehistoric,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,LATER PREHISTORIC,ПОЗДНИЙ ДОИСТОРИЧЕСКИЙ,史前晚期,Кейінгі тарихқа дейінгі дәуір,Кеч тарыхка чейинки,ОХИРИ ТО-ТАЪРИХӢ,GIÇKI TARYHDAN ÖŇKI DÖWÜR,SO‘NGGI OLD TARIX,,,,,,,,,,,,,,,,,,,,,,,,,L2|LATER PREHISTORIC|Prehistoric
86,CP-2-0060,2,CP-1-0012,MESOLITHIC,L2|MESOLITHIC|Prehistoric,True,"c. 14,000-6,500 BCE",-14000,-6500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,MESOLITHIC,МЕЗОЛИТ,中石器时代,Мезолит,МЕЗОЛИТ,МЕЗОЛИТ,MEZOLIT,MEZOLIT,,,,,,,,,,,,,,,,,,,,,,,,,L2|MESOLITHIC|Prehistoric
87,CP-3-0015,3,CP-2-0060,Early Mesolithic,L3|Early Mesolithic|MESOLITHIC,True,"c. 14,000-10,000 BCE",-14000,-10000,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,MESOLITHIC,МЕЗОЛИТ,中石器时代,Мезолит,МЕЗОЛИТ,МЕЗОЛИТ,MEZOLIT,MEZOLIT,Early Mesolithic,Ранний мезолит,中石器时代早期,Ерте мезолит,Эрте Мезолит,Ибтидои мезолит,IRKI MEZOLIT,Ilk mezolit,,,,,,,,,,,,,,,,,L3|Early Mesolithic|MESOLITHIC
88,CP-3-0016,3,CP-2-0060,Late Mesolithic,L3|Late Mesolithic|MESOLITHIC,True,"c. 10,00-6,500 BCE",-6500,-1000,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,MESOLITHIC,МЕЗОЛИТ,中石器时代,Мезолит,МЕЗОЛИТ,МЕЗОЛИТ,MEZOLIT,MEZOLIT,Late Mesolithic,Поздний мезолит,中石器时代晚期,Кейінгі мезолит,Кеч Мезолит,Охири мезолит,GIÇKI MEZOLIT,So‘nggi mezolit,,,,,,,,,,,,,,,,,L3|Late Mesolithic|MESOLITHIC
89,CP-2-0061,2,CP-1-0012,NEOLITHIC,L2|NEOLITHIC|Prehistoric,True,"c. 6,500-2,500 BCE",-6500,-2500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,NEOLITHIC,НЕОЛИТ,新石器时代,Неолит,НЕОЛИТ,НЕОЛИТ,NEOLIT,NEOLIT,,,,,,,,,,,,,,,,,,,,,,,,,L2|NEOLITHIC|Prehistoric
90,CP-3-0017,3,CP-2-0061,EARLY NEOLITHIC,L3|EARLY NEOLITHIC|NEOLITHIC,True,"c. 6,500-5,000 BCE",-6500,-5000,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,NEOLITHIC,НЕОЛИТ,新石器时代,Неолит,НЕОЛИТ,НЕОЛИТ,NEOLIT,NEOLIT,EARLY NEOLITHIC,РАННИЙ НЕОЛИТ,新石器时代早期,ЕРТЕ НЕОЛИТ,Эрте Неолит,ИБТИДОИ НЕОЛИТ,IRKI NEOLIT,Ilk neolit,,,,,,,,,,,,,,,,,L3|EARLY NEOLITHIC|NEOLITHIC
91,CP-3-0018,3,CP-2-0061,LATE NEOLITHIC,L3|LATE NEOLITHIC|NEOLITHIC,True,"c. 4,000-2,500 BCE",-4000,-2500,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,NEOLITHIC,НЕОЛИТ,新石器时代,Неолит,НЕОЛИТ,НЕОЛИТ,NEOLIT,NEOLIT,LATE NEOLITHIC,ПОЗДНИЙ НЕОЛИТ,新石器时代晚期,КЕЙІНГІ НЕОЛИТ,Кеч Неолит,ОХИРИ НЕОЛИТ,GIÇKI NEOLIT,So‘nggi neolit,,,,,,,,,,,,,,,,,L3|LATE NEOLITHIC|NEOLITHIC
92,CP-3-0019,3,CP-2-0061,MIDDLE NEOLITHIC,L3|MIDDLE NEOLITHIC|NEOLITHIC,True,"c. 5,000-4,000 BCE",-5000,-4000,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,NEOLITHIC,НЕОЛИТ,新石器时代,Неолит,НЕОЛИТ,НЕОЛИТ,NEOLIT,NEOLIT,MIDDLE NEOLITHIC,СРЕДНИЙ НЕОЛИТ,新石器时代中期,ОРТАҢҒЫ НЕОЛИТ,Орто Yеолит,НЕОЛИТИ МИЁНА,ORTA NEOLIT,O‘rta neolit,,,,,,,,,,,,,,,,,L3|MIDDLE NEOLITHIC|NEOLITHIC
93,CP-2-0062,2,CP-1-0012,PALAEOLITHIC,L2|PALAEOLITHIC|Prehistoric,True,"c. 1,500,000-16,000 BP",-1498050,-14050,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,PALAEOLITHIC,ПАЛЕОЛИТ,旧石器时代,Палеолит,ПАЛЕОЛИТ,ПАЛЕОЛИТ,PALEOLIT,PALEOLIT,,,,,,,,,"Human activity in Central Asia from 1.5 to 1 million years ago, to the 10th millennia BCE","Человеческая деятельность в Центральной Азии начиная с 1-1,5 млн. лет назад до 10-го тысячелетие д.н.э.",人类在中亚的活动从150万年前到100万年前，到公元前10万年,"Борбордук Азиядагы адам баласынын ишмердүүлүгү 1,5 миллиондон 1 миллион жыл мурун, биздин заманга чейинки 10 миң жылдыкка чейин","Фаъолияти инсон дар Осиёи Миёна аз 1-1,5 миллион сол пеш то ҳазораи 10 пеш аз милод.","B.e.öň 1,5 million ýyldan başlap 1 millon ýyla çenli, 10-njy müňýyllyga çenli Merkezi Aziýada adamzat hereketi","Oʻrta Osiyoda 1-1,5 million yil avvaldan miloddan avvalgi 10-ming yilliklargacha boʻlgan inson faoliyati.",,,,,,,,,,L2|PALAEOLITHIC|Prehistoric
94,CP-3-0020,3,CP-2-0062,LOWER PALAEOLITHIC,L3|LOWER PALAEOLITHIC|PALAEOLITHIC,True,"c. 1,500,000-300,000 BP",-1498050,-298050,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,PALAEOLITHIC,ПАЛЕОЛИТ,旧石器时代,Палеолит,ПАЛЕОЛИТ,ПАЛЕОЛИТ,PALEOLIT,PALEOLIT,LOWER PALAEOLITHIC,НИЖНИЙ ПАЛЕОЛИТ,旧石器时代早期,ТӨМЕНГІ ПАЛЕОЛИТ,Төмөнкү Палеолит,ПАЛЕОЛИТИ ПОЁН,AŞAKY PALEOLIT,Ilk paleolit,,,,,,,,,,,,,,,,,L3|LOWER PALAEOLITHIC|PALAEOLITHIC
95,CP-3-0021,3,CP-2-0062,MIDDLE PALAEOLITHIC,L3|MIDDLE PALAEOLITHIC|PALAEOLITHIC,True,"c. 300,000-45,000 BP",-298050,-43050,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,PALAEOLITHIC,ПАЛЕОЛИТ,旧石器时代,Палеолит,ПАЛЕОЛИТ,ПАЛЕОЛИТ,PALEOLIT,PALEOLIT,MIDDLE PALAEOLITHIC,СРЕДНИЙ ПАЛЕОЛИТ,旧石器时代中期,ОРТАҢҒЫ ПАЛЕОЛИТ,Орто Палеолит,ПАЛЕОЛИТИ МИЁНА,ORTA PALEOLIT,O‘rta paleolit,,,,,,,,,,,,,,,,,L3|MIDDLE PALAEOLITHIC|PALAEOLITHIC
96,CP-3-0022,3,CP-2-0062,UPPER PALAEOLITHIC,L3|UPPER PALAEOLITHIC|PALAEOLITHIC,True,"c. 50,000-16,000 BP",-48050,-14050,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Prehistoric,Доисторический,史前,Тарихқа дейінгі,Тарыхка чейинки,То таърихӣ,Taryhdan öňki döwür,Old tarix,PALAEOLITHIC,ПАЛЕОЛИТ,旧石器时代,Палеолит,ПАЛЕОЛИТ,ПАЛЕОЛИТ,PALEOLIT,PALEOLIT,UPPER PALAEOLITHIC,ВЕРХНИЙ ПАЛЕОЛИТ,旧石器时代晚期,ЖОҒАРҒЫ ПАЛЕОЛИТ,Жогорку Палеолит,ПАЛЕОЛИТИ БОЛО,YOKARKY PALEOLIT,So‘nggi paleolit,,,,,,,,,,,,,,,,,L3|UPPER PALAEOLITHIC|PALAEOLITHIC
97,CP-1-0016,1,,Scythian,L1|Scythian|NA,True,c. 900-300 CE,300,900,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Scythian,скифская эпоха,塞西亚,Скиф дәуірі,Скиф доору,Давраи скифҳо,Skifler döwri,Skiflar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Scythian|NA
98,CP-2-0071,2,CP-1-0016,First Scythian Kingdom,L2|First Scythian Kingdom|Scythian,True,c. 900-600 BCE,-900,-600,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Scythian,скифская эпоха,塞西亚,Скиф дәуірі,Скиф доору,Давраи скифҳо,Skifler döwri,Skiflar,First Scythian Kingdom,Первое скифское царство,塞西亚第一王国,Бірінші скиф патшалығы,Биринчи Скиф падышалыгы,Якумин шоҳигарии скифҳои,Birinji Skif patyşalygy,Birinchi skif podsholigi,,,,,,,,,,,,,,,,,,,,,,,,,L2|First Scythian Kingdom|Scythian
99,CP-2-0072,2,CP-1-0016,Second Scythian Kingdom,L2|Second Scythian Kingdom|Scythian,True,c. 600-300 BCE,-600,-300,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Scythian,скифская эпоха,塞西亚,Скиф дәуірі,Скиф доору,Давраи скифҳо,Skifler döwri,Skiflar,Second Scythian Kingdom,Второе скифское царство,塞西亚第二王国,Екінші скиф патшалығы,Экинчи Скиф падышалыгы,Дуввумин шоҳигарии скифҳои,Ikinji Skif patyşalygy,Ikkinchi skif podsholigi,,,,,,,,,,,,,,,,,,,,,,,,,L2|Second Scythian Kingdom|Scythian
100,CP-2-0073,2,CP-1-0016,Third Scythian Kingdom,L2|Third Scythian Kingdom|Scythian,True,c. 300 BCE -300 CE,-300,300,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Scythian,скифская эпоха,塞西亚,Скиф дәуірі,Скиф доору,Давраи скифҳо,Skifler döwri,Skiflar,Third Scythian Kingdom,Третье скифское царство,塞西亚第三王国,Үшінші скиф патшалығы,Үчүнчү Скиф падышалыгы,Саввумин шоҳигарии скифҳои,Üçünji Skif patyşalygy,Uchinchi skif podsholigi,,,,,,,,,,,,,,,,,,,,,,,,,L2|Third Scythian Kingdom|Scythian
101,CP-1-0013,1,,Saka period,L1|Saka period|NA,True,(late 9th - 2nd/1st centuries BCE),-875,0,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Saka period,Сакская эпоха,塞迦时期,Сақ дәуірі,Сак доору,Давраи сакоиҳо,Sakslar döwri,Saklar davri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Saka period|NA
102,CP-2-0067,2,CP-1-0013,Tasmola culture,L2|Tasmola culture|Saka period,True,late 9th – 3rd centuries BCE,-875,-201,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Saka period,Сакская эпоха,塞迦时期,Сақ дәуірі,Сак доору,Давраи сакоиҳо,Sakslar döwri,Saklar davri,Tasmola culture,Тасмолинская культура,塔斯莫拉文化,Тасмола мәдениеті,Тасмолин маданияты,Маданияти тасмолинск,Tasmola medeniýeti,Tasmoʻla madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Tasmola culture|Saka period
103,CP-2-0065,2,CP-1-0013,Pazyryk culture,L2|Pazyryk culture|Saka period,True,2nd half of the 6th – 3rd centuries BCE.,-550,-201,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Saka period,Сакская эпоха,塞迦时期,Сақ дәуірі,Сак доору,Давраи сакоиҳо,Sakslar döwri,Saklar davri,Pazyryk culture,Пазырыкская культура,巴泽雷克文化,Пазырық мәдениеті,Пазырык маданияты,Маданияти пазирик,Pazyryk medeniýeti,Poziriq madaniyati,,,,,,,,,,,,,,,,,,,,,,,,,L2|Pazyryk culture|Saka period
